property_type,purpose,baths,bedrooms,location,sqft,price,page_url
House,For Sale,7,6,Cantt,21780.0,4500.0,https://www.zameen.com/Property/faisal_cantonment_karsaz_kda_scheme_no_1_2000_yards_bungalow__for_sale-86575-6649-1.html
House,For Sale,8,6,Gulistan-e-Jauhar,4356.016,350.0,https://www.zameen.com/Property/karachi_gulistan_e_jauhar_6_bedrooms_house_for_sale-342005-232-1.html
Flat,For Sale,3,3,DHA Defence,24230.339,210.0,https://www.zameen.com/Property/d_h_a_dha_phase_7_200_sq_yard_full_floor_proper_west_open_flat_is_available_for_sale-466607-1484-1.html
House,For Sale,1,2,Malir,8712.032,65.0,https://www.zameen.com/Property/malir_malir_kalaboard_house_for_sale_in_malir_kalaboard-678919-9594-1.html
House,For Sale,4,4,Gadap Town,26136.096,130.0,https://www.zameen.com/Property/surjani_town_surjani_town_sector_4b_new_sweet_home_for_sale_in_surjani_town-813506-6732-1.html
House,For Sale,4,4,DHA Defence,1089.004,320.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_extension_out_class_brand_new_bungalow_for_sale-1010365-1674-1.html
Flat,For Sale,4,4,Gulshan-e-Iqbal Town,26680.598,165.0,https://www.zameen.com/Property/gulshan_e_iqbal_gulshan_e_iqbal_block_1_flat_for_sale__harmain_royal_residency-1260475-6861-1.html
House,For Sale,6,6,DHA Defence,5445.0,1100.0,https://www.zameen.com/Property/d_h_a_dha_phase_6_defence_phase_vi_500_sq_yards_owner_built_slightly_used_bungalow-1631292-1483-1.html
House,For Sale,6,5,Scheme 33,26136.096,128.0,https://www.zameen.com/Property/scheme_33_saadi_town_120_square_yard_house_is_available_for_sale-1902788-6853-1.html
Flat,For Sale,3,3,Cantt,27769.602,300.0,https://www.zameen.com/Property/malir_cantonment_askari_5_3_bedrrom_flat_ground_floor_available_for_sale-2290028-6655-1.html
Flat,For Sale,4,3,Cantt,31036.614,340.0,https://www.zameen.com/Property/malir_cantonment_askari_5_flat_is_available_for_sale-2290030-6655-1.html
Flat,For Sale,3,3,Cantt,31036.614,295.0,https://www.zameen.com/Property/malir_cantonment_askari_5_flat_is_available_for_sale-2290031-6655-1.html
Flat,For Sale,3,3,Cantt,31036.614,300.0,https://www.zameen.com/Property/malir_cantonment_askari_5_luxury_flat_for_sale-2290032-6655-1.html
Flat,For Sale,3,4,Cantt,35664.880999999994,375.0,https://www.zameen.com/Property/malir_cantonment_askari_5_flat_is_available_for_sale-2290033-6655-1.html
Flat,For Sale,3,3,Bath Island,24230.339,450.0,https://www.zameen.com/Property/karachi_bath_island_brand_new_flat_is_available_for_sale-2478189-198-1.html
House,For Sale,5,4,Gulshan-e-Iqbal Town,13068.048,170.0,https://www.zameen.com/Property/gulshan_e_iqbal_gulshan_e_iqbal_block_4a_house_for_sale_in_gulshan_e_iqbal_block_4a-2727355-6865-1.html
Flat,For Sale,3,3,Gulshan-e-Iqbal Town,20691.076,125.0,https://www.zameen.com/Property/gulshan_e_iqbal_gulshan_e_iqbal_block_1_flat_for_sale_in_gulshan_e_iqbal_block_1-2733346-6861-1.html
Flat,For Sale,3,2,Gulshan-e-Iqbal Town,14701.553999999998,50.0,https://www.zameen.com/Property/gulshan_e_iqbal_town_gulzar_e_hijri_luxury_flat_for_sale-2755668-235-1.html
Flat,For Sale,2,2,Abul Hassan Isphani Road,8712.032,41.0,https://www.zameen.com/Property/karachi_abul_hassan_isphani_road_west_open_very_airy_flat_for_sale-2804200-9522-1.html
House,For Sale,8,11,Nazimabad,36481.634,400.0,https://www.zameen.com/Property/nazimabad_nazimabad_block_1_triple_storey_house_available_for_sale-2805158-7078-1.html
Flat,For Sale,3,3,Cantt,31036.614,280.0,https://www.zameen.com/Property/malir_cantonment_askari_5_beautiful_residential_flat_available_for_sale-2860713-6655-1.html
Flat,For Sale,3,3,Cantt,31036.614,325.0,https://www.zameen.com/Property/malir_cantonment_askari_5_brand_new_luxury_flat-2860714-6655-1.html
Flat,For Sale,4,4,Cantt,35937.132,400.0,https://www.zameen.com/Property/malir_cantonment_askari_5_1st_floor_4_bedroom_brand_new_beautiful_west_open_residential_flat-2860715-6655-1.html
House,For Sale,5,5,Malir,3811.514,595.0,https://www.zameen.com/Property/malir_falcon_complex_new_malir_350_sq_yards_west_open_bungalow_at_afohs_falcon_complex_falcon_new_malir-3011860-9582-1.html
House,For Sale,5,5,Malir,5445.0,715.0,https://www.zameen.com/Property/malir_falcon_complex_new_malir_500_sq_yard_bungalow_for_sale_in_afohs_falcon_complex_new_malir-3011866-9582-1.html
